"","Adult Mobility","Complexity in Reproductive Strategy","Dispersal of Early Life Stages","Early Life History Survival and Settlement Requirements","Habitat Specificity","Other Stressors","Population Growth Rate","Prey Specificity","Sensitivity to Ocean Acidification","Sensitivity to Temperature","Spawning Cycle","Stock Size/Status","Total Sensitivity","Certainty"
"Acadian redfish",2.72,1.84,2.04,2.2,1.72,1.92,3.52,1.96,1.12,1.8,2.6,1.84,2,0.9998
"Alewife",1.6,3.25,2.8,3.28,2.56,2.68,2.24,1.68,1.56,2.16,3.16,2.52,3,1
"American conger",1.45,2.15,1.35,2.25,2.55,2.24,2,1.65,1.25,1.7,2.9,2.4,2,0.6946
"American eel",1.15,2.05,1.1,2.45,2.05,2.45,2.7,1.1,1.15,1.4,2.5,2.55,2,0.7234
"American lobster",1.9,1.4,1.8,2.35,1.85,2.7,3.45,1.15,3.85,2.7,2.9,2.2,3,1
"American plaice",2.75,1.45,1.45,2.15,1.8,1.25,2.45,2.1,1.9,1.65,2.4,2.95,2,0.9882
"American shad",1.4,3.44,3.08,3.32,2.92,3.28,2.32,1.84,1.48,1.56,3.72,2.92,3,0.9696
"Atlantic and Gulf sturgeon",1.2,2.6,2.92,2.28,2.8,2.9,3.88,1.52,1.64,1.64,2.64,3.2,3,0.947
"Atlantic cod",2.4,2.35,1.75,2.55,2.2,2.15,2.75,1.3,1.15,2,1.85,3.85,2,0.9963
"Atlantic croaker",1.6,2.06666666666667,1.86666666666667,3.03333333333333,2,2.13333333333333,1.56666666666667,1.3,1.76666666666667,1.33333333333333,2.13333333333333,1.76666666666667,1,1
"Atlantic hagfish",3.05,1.9,2.7,1.15,1.25,1.7,2.55,1.25,1.3,1.6,1.05,2.45,2,0.9213
"Atlantic halibut",1.85,1.05,1.6,1.95,1.65,1.8,3.9,1,1.1,2,2.15,3.68,3,1
"Atlantic herring",1.8,2.15,1.5,2.7,1.4,1.8,1.9,1.35,1.8,2.15,2.65,1.25,2,0.9858
"Atlantic mackerel",1.75,1.95,1.8,2.35,1.3,1.55,1.5,1.12,1.28,1.55,2.6,2.05,1,0.8943
"Atlantic menhaden",1.73333333333333,2.1,1.8,2.96666666666667,1.86666666666667,2.1,1.2,1.83333333333333,2.03333333333333,1.7,1.8,2.4,1,0.8384
